2026-07-15 14:30:50,417 - ============================================================
2026-07-15 14:30:50,417 - Barkley Tracker 啟動
2026-07-15 14:30:50,418 - Log 檔案：logs\barkley_20260715_143050.log
2026-07-15 14:30:50,418 - ============================================================
2026-07-15 14:30:57,472 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 14:30:57,567 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 14:30:57,574 - 書籍分類 - 設定裝置: CPU
2026-07-15 14:30:57,632 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 14:30:58,045 - 幀採樣間隔: 1.0 秒
2026-07-15 14:30:58,045 - YOLO pose ROI 初始位置: (420, 0)
2026-07-15 14:30:58,061 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 14:30:58,062 - YOLO - 設定裝置: GPU
2026-07-15 14:31:02,204 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 14:31:34,053 - Pose: 1 persons | Book: no_book: 0.9927, book_1: 0.0020, book_2: 0.0015, book_3: 0.0038 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:35,057 - Pose: 1 persons | Book: no_book: 0.9888, book_1: 0.0032, book_2: 0.0025, book_3: 0.0056 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:36,093 - Pose: 1 persons | Book: no_book: 0.9910, book_1: 0.0021, book_2: 0.0018, book_3: 0.0050 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:37,107 - Pose: 1 persons | Book: no_book: 0.9959, book_1: 0.0011, book_2: 0.0008, book_3: 0.0023 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:38,110 - Pose: 1 persons | Book: no_book: 0.9903, book_1: 0.0025, book_2: 0.0019, book_3: 0.0053 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:39,131 - Pose: 1 persons | Book: no_book: 0.9853, book_1: 0.0041, book_2: 0.0033, book_3: 0.0073 | Sitting: P0:sitting | Smoothed: not_sitting
2026-07-15 14:31:40,151 - Pose: 1 persons | Book: no_book: 0.9954, book_1: 0.0011, book_2: 0.0009, book_3: 0.0027 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:41,165 - Pose: 1 persons | Book: no_book: 0.9871, book_1: 0.0036, book_2: 0.0027, book_3: 0.0066 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:42,182 - Pose: 1 persons | Book: no_book: 0.9929, book_1: 0.0021, book_2: 0.0013, book_3: 0.0038 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:43,194 - Pose: 1 persons | Book: no_book: 0.9914, book_1: 0.0023, book_2: 0.0018, book_3: 0.0045 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:44,219 - Pose: 1 persons | Book: no_book: 0.9923, book_1: 0.0022, book_2: 0.0017, book_3: 0.0039 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:45,206 - Pose: 1 persons | Book: no_book: 0.9922, book_1: 0.0021, book_2: 0.0015, book_3: 0.0041 | Sitting: P0:sitting | Smoothed: not_sitting
2026-07-15 14:31:46,228 - Pose: 1 persons | Book: no_book: 0.9963, book_1: 0.0010, book_2: 0.0006, book_3: 0.0021 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:47,254 - Pose: 1 persons | Book: no_book: 0.9946, book_1: 0.0014, book_2: 0.0010, book_3: 0.0030 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:48,267 - Pose: 1 persons | Book: no_book: 0.9947, book_1: 0.0013, book_2: 0.0009, book_3: 0.0031 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:49,290 - Pose: 1 persons | Book: no_book: 0.9848, book_1: 0.0041, book_2: 0.0035, book_3: 0.0076 | Sitting: P0:not_sitting | Smoothed: sitting
2026-07-15 14:31:50,301 - Pose: 1 persons | Book: no_book: 0.9912, book_1: 0.0023, book_2: 0.0019, book_3: 0.0046 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:51,321 - Pose: 1 persons | Book: no_book: 0.9929, book_1: 0.0020, book_2: 0.0013, book_3: 0.0038 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:52,335 - Pose: 1 persons | Book: no_book: 0.9949, book_1: 0.0013, book_2: 0.0009, book_3: 0.0029 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:53,361 - Pose: 1 persons | Book: no_book: 0.9935, book_1: 0.0017, book_2: 0.0014, book_3: 0.0033 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:54,389 - Pose: 1 persons | Book: no_book: 0.9891, book_1: 0.0030, book_2: 0.0021, book_3: 0.0058 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:31:55,428 - Pose: 1 persons | Book: no_book: 0.9922, book_1: 0.0020, book_2: 0.0015, book_3: 0.0043 | Sitting: P0:sitting | Smoothed: not_sitting
2026-07-15 14:31:56,458 - Pose: 1 persons | Book: no_book: 0.9913, book_1: 0.0022, book_2: 0.0017, book_3: 0.0048 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:57,470 - Pose: 1 persons | Book: no_book: 0.9882, book_1: 0.0034, book_2: 0.0027, book_3: 0.0058 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:58,481 - Pose: 1 persons | Book: no_book: 0.9954, book_1: 0.0011, book_2: 0.0008, book_3: 0.0027 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:31:59,490 - Pose: 1 persons | Book: no_book: 0.9938, book_1: 0.0016, book_2: 0.0011, book_3: 0.0035 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:00,515 - Pose: 1 persons | Book: no_book: 0.9969, book_1: 0.0007, book_2: 0.0005, book_3: 0.0019 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:01,523 - Pose: 1 persons | Book: no_book: 0.9953, book_1: 0.0011, book_2: 0.0008, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:02,552 - Pose: 1 persons | Book: no_book: 0.9940, book_1: 0.0017, book_2: 0.0012, book_3: 0.0032 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:03,562 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0017, book_2: 0.0012, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:04,579 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0021, book_2: 0.0015, book_3: 0.0039 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:05,610 - Pose: 1 persons | Book: no_book: 0.9960, book_1: 0.0011, book_2: 0.0007, book_3: 0.0022 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:06,633 - Pose: 1 persons | Book: no_book: 0.9919, book_1: 0.0019, book_2: 0.0016, book_3: 0.0045 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:07,649 - Pose: 1 persons | Book: no_book: 0.9935, book_1: 0.0016, book_2: 0.0012, book_3: 0.0037 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:08,677 - Pose: 1 persons | Book: no_book: 0.9942, book_1: 0.0014, book_2: 0.0010, book_3: 0.0034 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:09,681 - Pose: 1 persons | Book: no_book: 0.9949, book_1: 0.0014, book_2: 0.0010, book_3: 0.0027 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:10,697 - Pose: 1 persons | Book: no_book: 0.9905, book_1: 0.0027, book_2: 0.0020, book_3: 0.0048 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:11,717 - Pose: 1 persons | Book: no_book: 0.9936, book_1: 0.0015, book_2: 0.0011, book_3: 0.0038 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:12,742 - Pose: 1 persons | Book: no_book: 0.9932, book_1: 0.0019, book_2: 0.0012, book_3: 0.0037 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:13,745 - Pose: 1 persons | Book: no_book: 0.9953, book_1: 0.0012, book_2: 0.0009, book_3: 0.0026 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:14,758 - Pose: 1 persons | Book: no_book: 0.9946, book_1: 0.0015, book_2: 0.0011, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:15,774 - Pose: 1 persons | Book: no_book: 0.9939, book_1: 0.0014, book_2: 0.0011, book_3: 0.0035 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:16,781 - Pose: 1 persons | Book: no_book: 0.9940, book_1: 0.0016, book_2: 0.0011, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:17,829 - Pose: 1 persons | Book: no_book: 0.9930, book_1: 0.0018, book_2: 0.0014, book_3: 0.0039 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:18,856 - Pose: 1 persons | Book: no_book: 0.9913, book_1: 0.0022, book_2: 0.0017, book_3: 0.0048 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:19,856 - Pose: 1 persons | Book: no_book: 0.9947, book_1: 0.0013, book_2: 0.0010, book_3: 0.0030 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:20,892 - Pose: 1 persons | Book: no_book: 0.9951, book_1: 0.0012, book_2: 0.0010, book_3: 0.0027 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:21,901 - Pose: 1 persons | Book: no_book: 0.9922, book_1: 0.0022, book_2: 0.0014, book_3: 0.0042 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:22,924 - Pose: 1 persons | Book: no_book: 0.9902, book_1: 0.0026, book_2: 0.0023, book_3: 0.0049 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:23,929 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0017, book_2: 0.0011, book_3: 0.0034 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:24,944 - Pose: 1 persons | Book: no_book: 0.9923, book_1: 0.0022, book_2: 0.0015, book_3: 0.0040 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:25,951 - Pose: 1 persons | Book: no_book: 0.9910, book_1: 0.0024, book_2: 0.0020, book_3: 0.0046 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:26,986 - Pose: 1 persons | Book: no_book: 0.9936, book_1: 0.0019, book_2: 0.0013, book_3: 0.0032 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:28,024 - Pose: 1 persons | Book: no_book: 0.9910, book_1: 0.0024, book_2: 0.0019, book_3: 0.0047 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:29,057 - Pose: 1 persons | Book: no_book: 0.9957, book_1: 0.0011, book_2: 0.0008, book_3: 0.0024 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:30,081 - Pose: 1 persons | Book: no_book: 0.9950, book_1: 0.0014, book_2: 0.0009, book_3: 0.0027 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:31,112 - Pose: 1 persons | Book: no_book: 0.9938, book_1: 0.0018, book_2: 0.0012, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:32,124 - Pose: 1 persons | Book: no_book: 0.9944, book_1: 0.0015, book_2: 0.0010, book_3: 0.0031 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:33,132 - Pose: 1 persons | Book: no_book: 0.9936, book_1: 0.0019, book_2: 0.0011, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:34,144 - Pose: 1 persons | Book: no_book: 0.9943, book_1: 0.0016, book_2: 0.0011, book_3: 0.0029 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:35,169 - Pose: 1 persons | Book: no_book: 0.9933, book_1: 0.0019, book_2: 0.0012, book_3: 0.0036 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:36,186 - Pose: 1 persons | Book: no_book: 0.9927, book_1: 0.0020, book_2: 0.0013, book_3: 0.0040 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:37,192 - Pose: 1 persons | Book: no_book: 0.9947, book_1: 0.0011, book_2: 0.0009, book_3: 0.0032 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:38,215 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0024, book_2: 0.0015, book_3: 0.0037 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:39,219 - Pose: 1 persons | Book: no_book: 0.9940, book_1: 0.0016, book_2: 0.0011, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:40,265 - Pose: 1 persons | Book: no_book: 0.9957, book_1: 0.0010, book_2: 0.0008, book_3: 0.0025 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:41,283 - Pose: 1 persons | Book: no_book: 0.9888, book_1: 0.0028, book_2: 0.0025, book_3: 0.0059 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:42,287 - Pose: 1 persons | Book: no_book: 0.9947, book_1: 0.0014, book_2: 0.0008, book_3: 0.0031 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:43,318 - Pose: 1 persons | Book: no_book: 0.9928, book_1: 0.0017, book_2: 0.0014, book_3: 0.0041 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:44,323 - Pose: 1 persons | Book: no_book: 0.9889, book_1: 0.0031, book_2: 0.0023, book_3: 0.0058 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:45,381 - Pose: 1 persons | Book: no_book: 0.9900, book_1: 0.0026, book_2: 0.0019, book_3: 0.0055 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:46,372 - Pose: 1 persons | Book: no_book: 0.9957, book_1: 0.0011, book_2: 0.0007, book_3: 0.0025 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:47,380 - Pose: 1 persons | Book: no_book: 0.9943, book_1: 0.0012, book_2: 0.0009, book_3: 0.0036 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:48,387 - Pose: 1 persons | Book: no_book: 0.9933, book_1: 0.0017, book_2: 0.0013, book_3: 0.0038 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:49,412 - Pose: 1 persons | Book: no_book: 0.9927, book_1: 0.0018, book_2: 0.0015, book_3: 0.0041 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:50,428 - Pose: 1 persons | Book: no_book: 0.9928, book_1: 0.0017, book_2: 0.0014, book_3: 0.0041 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:51,461 - Pose: 1 persons | Book: no_book: 0.9955, book_1: 0.0012, book_2: 0.0007, book_3: 0.0026 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:52,484 - Pose: 1 persons | Book: no_book: 0.9950, book_1: 0.0013, book_2: 0.0009, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:53,501 - Pose: 1 persons | Book: no_book: 0.9908, book_1: 0.0024, book_2: 0.0020, book_3: 0.0049 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:54,521 - Pose: 1 persons | Book: no_book: 0.9962, book_1: 0.0009, book_2: 0.0006, book_3: 0.0022 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:55,521 - Pose: 1 persons | Book: no_book: 0.9924, book_1: 0.0018, book_2: 0.0016, book_3: 0.0042 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:56,554 - Pose: 1 persons | Book: no_book: 0.9956, book_1: 0.0012, book_2: 0.0007, book_3: 0.0025 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:57,564 - Pose: 1 persons | Book: no_book: 0.9924, book_1: 0.0023, book_2: 0.0015, book_3: 0.0038 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:58,588 - Pose: 1 persons | Book: no_book: 0.9966, book_1: 0.0009, book_2: 0.0005, book_3: 0.0020 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:32:59,604 - Pose: 1 persons | Book: no_book: 0.9968, book_1: 0.0008, book_2: 0.0005, book_3: 0.0018 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:00,637 - Pose: 1 persons | Book: no_book: 0.9949, book_1: 0.0013, book_2: 0.0010, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:01,645 - Pose: 1 persons | Book: no_book: 0.9971, book_1: 0.0007, book_2: 0.0005, book_3: 0.0017 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:02,662 - Pose: 1 persons | Book: no_book: 0.9915, book_1: 0.0021, book_2: 0.0015, book_3: 0.0049 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:03,697 - Pose: 1 persons | Book: no_book: 0.9953, book_1: 0.0011, book_2: 0.0008, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:04,713 - Pose: 1 persons | Book: no_book: 0.9914, book_1: 0.0026, book_2: 0.0018, book_3: 0.0042 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:05,726 - Pose: 1 persons | Book: no_book: 0.9911, book_1: 0.0023, book_2: 0.0019, book_3: 0.0048 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:06,733 - Pose: 1 persons | Book: no_book: 0.9919, book_1: 0.0020, book_2: 0.0016, book_3: 0.0046 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:07,765 - Pose: 1 persons | Book: no_book: 0.9909, book_1: 0.0026, book_2: 0.0017, book_3: 0.0049 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:08,775 - Pose: 1 persons | Book: no_book: 0.9964, book_1: 0.0010, book_2: 0.0006, book_3: 0.0021 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:09,794 - Pose: 1 persons | Book: no_book: 0.9898, book_1: 0.0025, book_2: 0.0022, book_3: 0.0055 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:10,790 - Pose: 1 persons | Book: no_book: 0.9920, book_1: 0.0022, book_2: 0.0016, book_3: 0.0042 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:33:11,812 - Pose: 1 persons | Book: no_book: 0.9917, book_1: 0.0022, book_2: 0.0018, book_3: 0.0043 | Sitting: P0:sitting | Smoothed: sitting
