2026-07-15 12:43:21,359 - ============================================================
2026-07-15 12:43:21,359 - Barkley Tracker 啟動
2026-07-15 12:43:21,359 - Log 檔案：logs\barkley_20260715_124321.log
2026-07-15 12:43:21,359 - ============================================================
2026-07-15 12:43:29,086 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 12:43:29,177 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 12:43:29,184 - 書籍分類 - 設定裝置: CPU
2026-07-15 12:43:29,244 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 12:43:29,645 - 幀採樣間隔: 1.0 秒
2026-07-15 12:43:29,645 - YOLO pose ROI 初始位置: (624, 204)
2026-07-15 12:43:29,662 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 12:43:29,662 - YOLO - 設定裝置: GPU
2026-07-15 12:43:33,887 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 12:44:08,742 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0019, book_2: 0.0012, book_3: 0.0033 | Sitting: P0:sitting
2026-07-15 12:44:09,765 - Pose: 1 persons | Book: no_book: 0.9898, book_1: 0.0028, book_2: 0.0021, book_3: 0.0053 | Sitting: P0:sitting
2026-07-15 12:44:10,771 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0016, book_2: 0.0012, book_3: 0.0035 | Sitting: P0:sitting
2026-07-15 12:44:11,810 - Pose: 1 persons | Book: no_book: 0.9947, book_1: 0.0014, book_2: 0.0010, book_3: 0.0029 | Sitting: P0:sitting
2026-07-15 12:44:12,836 - Pose: 1 persons | Book: no_book: 0.9940, book_1: 0.0015, book_2: 0.0012, book_3: 0.0033 | Sitting: P0:not_sitting
2026-07-15 12:44:13,841 - Pose: 1 persons | Book: no_book: 0.9930, book_1: 0.0017, book_2: 0.0012, book_3: 0.0041 | Sitting: P0:sitting
2026-07-15 12:44:14,871 - Pose: 1 persons | Book: no_book: 0.9935, book_1: 0.0016, book_2: 0.0012, book_3: 0.0037 | Sitting: P0:sitting
2026-07-15 12:44:15,875 - Pose: 1 persons | Book: no_book: 0.9929, book_1: 0.0018, book_2: 0.0013, book_3: 0.0040 | Sitting: P0:sitting
2026-07-15 12:44:16,897 - Pose: 1 persons | Book: no_book: 0.9944, book_1: 0.0014, book_2: 0.0012, book_3: 0.0030 | Sitting: P0:sitting
2026-07-15 12:44:17,909 - Pose: 1 persons | Book: no_book: 0.9933, book_1: 0.0017, book_2: 0.0013, book_3: 0.0037 | Sitting: P0:sitting
2026-07-15 12:44:18,948 - Pose: 1 persons | Book: no_book: 0.9945, book_1: 0.0014, book_2: 0.0011, book_3: 0.0030 | Sitting: P0:sitting
2026-07-15 12:44:19,947 - Pose: 1 persons | Book: no_book: 0.9912, book_1: 0.0020, book_2: 0.0018, book_3: 0.0050 | Sitting: P0:sitting
