2026-07-15 11:21:23,282 - ============================================================
2026-07-15 11:21:23,284 - Barkley Tracker 啟動
2026-07-15 11:21:23,284 - Log 檔案：logs\barkley_20260715_112123.log
2026-07-15 11:21:23,284 - ============================================================
2026-07-15 11:21:32,550 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 11:21:32,648 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:21:32,659 - 書籍分類 - 設定裝置: GPU
2026-07-15 11:21:35,999 - 書籍分類模型：✓ GPU.0 編譯成功，使用 Intel GPU (Iris Xe)
2026-07-15 11:21:36,422 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:21:36,424 - YOLO - 設定裝置: GPU
2026-07-15 11:21:44,070 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 11:23:08,061 - Pose: 0 persons | Book: no_book: 0.9890, book_1: 0.0037, book_2: 0.0023, book_3: 0.0049 | Sitting: N/A
2026-07-15 11:23:10,149 - Pose: 0 persons | Book: no_book: 0.9946, book_1: 0.0015, book_2: 0.0010, book_3: 0.0030 | Sitting: N/A
2026-07-15 11:23:12,350 - Pose: 0 persons | Book: no_book: 0.9915, book_1: 0.0023, book_2: 0.0017, book_3: 0.0045 | Sitting: N/A
2026-07-15 11:23:14,354 - Pose: 0 persons | Book: no_book: 0.9910, book_1: 0.0023, book_2: 0.0020, book_3: 0.0047 | Sitting: N/A
2026-07-15 11:23:16,564 - Pose: 0 persons | Book: no_book: 0.9917, book_1: 0.0024, book_2: 0.0017, book_3: 0.0042 | Sitting: N/A
2026-07-15 11:23:18,596 - Pose: 0 persons | Book: no_book: 1.0000, book_1: 0.0000, book_2: 0.0000, book_3: 0.0000 | Sitting: N/A
2026-07-15 11:23:20,612 - Pose: 1 persons | Book: no_book: 0.9909, book_1: 0.0016, book_2: 0.0019, book_3: 0.0056 | Sitting: P0:sitting
2026-07-15 11:23:22,690 - Pose: 2 persons | Book: no_book: 0.9054, book_1: 0.0058, book_2: 0.0235, book_3: 0.0654 | Sitting: P0:sitting, P1:sitting
2026-07-15 11:23:24,748 - Pose: 2 persons | Book: no_book: 0.9900, book_1: 0.0023, book_2: 0.0018, book_3: 0.0058 | Sitting: P0:sitting, P1:not_sitting
2026-07-15 11:23:26,752 - Pose: 2 persons | Book: no_book: 0.9946, book_1: 0.0014, book_2: 0.0010, book_3: 0.0030 | Sitting: P0:sitting, P1:sitting
