2026-07-15 14:27:17,417 - ============================================================
2026-07-15 14:27:17,417 - Barkley Tracker 啟動
2026-07-15 14:27:17,417 - Log 檔案：logs\barkley_20260715_142717.log
2026-07-15 14:27:17,418 - ============================================================
2026-07-15 14:27:24,878 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 14:27:24,972 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 14:27:24,979 - 書籍分類 - 設定裝置: CPU
2026-07-15 14:27:25,038 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 14:27:25,457 - 幀採樣間隔: 1.0 秒
2026-07-15 14:27:25,458 - YOLO pose ROI 初始位置: (420, 0)
2026-07-15 14:27:25,474 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 14:27:25,474 - YOLO - 設定裝置: GPU
2026-07-15 14:27:30,074 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 14:27:32,571 - Pose: 1 persons | Book: no_book: 0.9929, book_1: 0.0019, book_2: 0.0014, book_3: 0.0037 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:33,904 - Pose: 1 persons | Book: no_book: 0.9955, book_1: 0.0013, book_2: 0.0008, book_3: 0.0024 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:35,208 - Pose: 1 persons | Book: no_book: 0.9893, book_1: 0.0031, book_2: 0.0024, book_3: 0.0053 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:36,486 - Pose: 1 persons | Book: no_book: 0.9956, book_1: 0.0011, book_2: 0.0008, book_3: 0.0025 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:37,313 - Pose: 1 persons | Book: no_book: 0.9940, book_1: 0.0016, book_2: 0.0011, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:37,723 - Pose: 1 persons | Book: no_book: 0.9901, book_1: 0.0024, book_2: 0.0021, book_3: 0.0054 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:38,737 - Pose: 1 persons | Book: no_book: 0.9934, book_1: 0.0017, book_2: 0.0013, book_3: 0.0036 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:39,749 - Pose: 1 persons | Book: no_book: 0.9955, book_1: 0.0011, book_2: 0.0008, book_3: 0.0025 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:40,772 - Pose: 1 persons | Book: no_book: 0.9926, book_1: 0.0022, book_2: 0.0015, book_3: 0.0038 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:41,781 - Pose: 1 persons | Book: no_book: 0.9932, book_1: 0.0018, book_2: 0.0014, book_3: 0.0036 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:42,821 - Pose: 1 persons | Book: no_book: 0.9946, book_1: 0.0016, book_2: 0.0010, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:43,844 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0017, book_2: 0.0012, book_3: 0.0034 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:44,852 - Pose: 1 persons | Book: no_book: 0.9917, book_1: 0.0022, book_2: 0.0017, book_3: 0.0044 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:45,909 - Pose: 1 persons | Book: no_book: 0.9888, book_1: 0.0032, book_2: 0.0022, book_3: 0.0058 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:46,912 - Pose: 1 persons | Book: no_book: 0.9914, book_1: 0.0024, book_2: 0.0018, book_3: 0.0043 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:47,921 - Pose: 1 persons | Book: no_book: 0.9935, book_1: 0.0019, book_2: 0.0013, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:48,937 - Pose: 1 persons | Book: no_book: 0.9926, book_1: 0.0017, book_2: 0.0013, book_3: 0.0044 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:49,964 - Pose: 1 persons | Book: no_book: 0.9943, book_1: 0.0015, book_2: 0.0011, book_3: 0.0031 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:50,962 - Pose: 1 persons | Book: no_book: 0.9920, book_1: 0.0025, book_2: 0.0017, book_3: 0.0038 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:51,989 - Pose: 1 persons | Book: no_book: 0.9923, book_1: 0.0021, book_2: 0.0015, book_3: 0.0041 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:52,997 - Pose: 1 persons | Book: no_book: 0.9933, book_1: 0.0017, book_2: 0.0012, book_3: 0.0038 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:27:54,047 - Pose: 1 persons | Book: no_book: 0.9953, book_1: 0.0012, book_2: 0.0008, book_3: 0.0027 | Sitting: P0:sitting | Smoothed: sitting
