2026-07-15 13:19:26,528 - ============================================================
2026-07-15 13:19:26,528 - Barkley Tracker 啟動
2026-07-15 13:19:26,529 - Log 檔案：logs\barkley_20260715_131926.log
2026-07-15 13:19:26,529 - ============================================================
2026-07-15 13:19:34,923 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 13:19:35,018 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 13:19:35,025 - 書籍分類 - 設定裝置: CPU
2026-07-15 13:19:35,082 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 13:19:35,484 - 幀採樣間隔: 1.0 秒
2026-07-15 13:19:35,484 - YOLO pose ROI 初始位置: (590, 170)
2026-07-15 13:19:35,501 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 13:19:35,502 - YOLO - 設定裝置: GPU
2026-07-15 13:19:39,709 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 13:19:42,039 - Pose: 1 persons | Book: no_book: 0.9951, book_1: 0.0013, book_2: 0.0009, book_3: 0.0027 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:43,412 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0015, book_2: 0.0011, book_3: 0.0036 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:44,852 - Pose: 1 persons | Book: no_book: 0.9932, book_1: 0.0017, book_2: 0.0014, book_3: 0.0037 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:46,282 - Pose: 1 persons | Book: no_book: 0.9950, book_1: 0.0013, book_2: 0.0008, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:47,467 - Pose: 1 persons | Book: no_book: 0.9915, book_1: 0.0022, book_2: 0.0017, book_3: 0.0047 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:47,685 - Pose: 1 persons | Book: no_book: 0.9943, book_1: 0.0016, book_2: 0.0010, book_3: 0.0030 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:48,686 - Pose: 1 persons | Book: no_book: 0.9939, book_1: 0.0016, book_2: 0.0011, book_3: 0.0035 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:49,690 - Pose: 1 persons | Book: no_book: 0.9918, book_1: 0.0023, book_2: 0.0018, book_3: 0.0042 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:50,719 - Pose: 1 persons | Book: no_book: 0.9941, book_1: 0.0017, book_2: 0.0013, book_3: 0.0029 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:51,727 - Pose: 1 persons | Book: no_book: 0.9951, book_1: 0.0014, book_2: 0.0009, book_3: 0.0026 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:52,756 - Pose: 1 persons | Book: no_book: 0.9948, book_1: 0.0015, book_2: 0.0009, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:53,764 - Pose: 1 persons | Book: no_book: 0.9972, book_1: 0.0007, book_2: 0.0005, book_3: 0.0016 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:54,787 - Pose: 1 persons | Book: no_book: 0.9947, book_1: 0.0013, book_2: 0.0009, book_3: 0.0031 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:19:55,789 - Pose: 1 persons | Book: no_book: 0.9931, book_1: 0.0019, book_2: 0.0014, book_3: 0.0036 | Sitting: P0:sitting | Smoothed: sitting
