2026-07-15 14:39:59,202 - ============================================================
2026-07-15 14:39:59,203 - Barkley Tracker 啟動
2026-07-15 14:39:59,203 - Log 檔案：logs\barkley_20260715_143959.log
2026-07-15 14:39:59,204 - ============================================================
2026-07-15 14:40:06,301 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 14:40:06,397 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 14:40:06,402 - 書籍分類 - 設定裝置: CPU
2026-07-15 14:40:06,459 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 14:40:06,894 - 幀採樣間隔: 1.0 秒
2026-07-15 14:40:06,895 - YOLO pose ROI 初始位置: (420, 0)
2026-07-15 14:40:06,914 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 14:40:06,914 - YOLO - 設定裝置: GPU
2026-07-15 14:40:11,079 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 14:40:13,561 - Pose: 1 persons | Book: no_book: 0.9950, book_1: 0.0014, book_2: 0.0008, book_3: 0.0028 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:14,873 - Pose: 1 persons | Book: no_book: 0.9942, book_1: 0.0016, book_2: 0.0012, book_3: 0.0030 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:16,201 - Pose: 1 persons | Book: no_book: 0.9906, book_1: 0.0027, book_2: 0.0020, book_3: 0.0047 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:17,479 - Pose: 1 persons | Book: no_book: 0.9970, book_1: 0.0008, book_2: 0.0004, book_3: 0.0017 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:18,427 - Pose: 1 persons | Book: no_book: 0.9895, book_1: 0.0029, book_2: 0.0023, book_3: 0.0052 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:18,737 - Pose: 1 persons | Book: no_book: 0.9953, book_1: 0.0013, book_2: 0.0009, book_3: 0.0026 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:19,748 - Pose: 1 persons | Book: no_book: 0.9914, book_1: 0.0023, book_2: 0.0021, book_3: 0.0043 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:20,757 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0015, book_2: 0.0012, book_3: 0.0036 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:21,780 - Pose: 1 persons | Book: no_book: 0.9943, book_1: 0.0016, book_2: 0.0012, book_3: 0.0029 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:22,789 - Pose: 1 persons | Book: no_book: 0.9945, book_1: 0.0014, book_2: 0.0011, book_3: 0.0030 | Sitting: P0:not_sitting | Smoothed: sitting
2026-07-15 14:40:23,830 - Pose: 1 persons | Book: no_book: 0.9950, book_1: 0.0013, book_2: 0.0009, book_3: 0.0028 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:40:24,854 - Pose: 1 persons | Book: no_book: 0.9939, book_1: 0.0016, book_2: 0.0013, book_3: 0.0032 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:40:25,861 - Pose: 1 persons | Book: no_book: 0.9945, book_1: 0.0016, book_2: 0.0011, book_3: 0.0028 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:40:26,884 - Pose: 1 persons | Book: no_book: 0.9945, book_1: 0.0015, book_2: 0.0009, book_3: 0.0031 | Sitting: P0:sitting | Smoothed: not_sitting
2026-07-15 14:40:27,892 - Pose: 1 persons | Book: no_book: 0.9916, book_1: 0.0024, book_2: 0.0016, book_3: 0.0044 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:28,916 - Pose: 1 persons | Book: no_book: 0.9945, book_1: 0.0012, book_2: 0.0010, book_3: 0.0034 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:29,927 - Pose: 1 persons | Book: no_book: 0.9946, book_1: 0.0015, book_2: 0.0010, book_3: 0.0029 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:30,952 - Pose: 1 persons | Book: no_book: 0.9910, book_1: 0.0022, book_2: 0.0019, book_3: 0.0049 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:31,958 - Pose: 1 persons | Book: no_book: 0.9917, book_1: 0.0021, book_2: 0.0017, book_3: 0.0045 | Sitting: P0:not_sitting | Smoothed: sitting
2026-07-15 14:40:32,982 - Pose: 1 persons | Book: no_book: 0.9888, book_1: 0.0026, book_2: 0.0022, book_3: 0.0064 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:33,989 - Pose: 1 persons | Book: no_book: 0.9960, book_1: 0.0012, book_2: 0.0007, book_3: 0.0020 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 14:40:35,030 - Pose: 1 persons | Book: no_book: 0.9885, book_1: 0.0032, book_2: 0.0026, book_3: 0.0057 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:36,055 - Pose: 1 persons | Book: no_book: 0.9938, book_1: 0.0016, book_2: 0.0012, book_3: 0.0034 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:37,059 - Pose: 1 persons | Book: no_book: 0.9939, book_1: 0.0017, book_2: 0.0010, book_3: 0.0033 | Sitting: P0:not_sitting | Smoothed: sitting
2026-07-15 14:40:38,090 - Pose: 1 persons | Book: no_book: 0.9929, book_1: 0.0018, book_2: 0.0014, book_3: 0.0039 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:39,091 - Pose: 1 persons | Book: no_book: 0.9939, book_1: 0.0017, book_2: 0.0011, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:40,117 - Pose: 1 persons | Book: no_book: 0.9955, book_1: 0.0013, book_2: 0.0009, book_3: 0.0023 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:41,126 - Pose: 1 persons | Book: no_book: 0.9909, book_1: 0.0023, book_2: 0.0017, book_3: 0.0052 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 14:40:42,149 - Pose: 1 persons | Book: no_book: 0.9951, book_1: 0.0013, book_2: 0.0009, book_3: 0.0027 | Sitting: P0:sitting | Smoothed: sitting
