2026-07-15 11:50:15,362 - ============================================================
2026-07-15 11:50:15,362 - Barkley Tracker 啟動
2026-07-15 11:50:15,362 - Log 檔案：logs\barkley_20260715_115015.log
2026-07-15 11:50:15,363 - ============================================================
2026-07-15 11:50:23,177 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 11:50:23,263 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:50:23,270 - 書籍分類 - 設定裝置: CPU
2026-07-15 11:50:23,327 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 11:50:23,721 - 幀採樣間隔: 1.0 秒
2026-07-15 11:50:23,722 - YOLO pose ROI 初始位置: (624, 204)
2026-07-15 11:50:23,737 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:50:23,737 - YOLO - 設定裝置: GPU
2026-07-15 11:50:27,731 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 11:50:30,497 - Pose: 1 persons | Book: no_book: 0.9920, book_1: 0.0023, book_2: 0.0018, book_3: 0.0039 | Sitting: P0:sitting
2026-07-15 11:50:31,780 - Pose: 1 persons | Book: no_book: 0.9949, book_1: 0.0013, book_2: 0.0009, book_3: 0.0028 | Sitting: P0:sitting
2026-07-15 11:50:33,391 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0019, book_2: 0.0013, book_3: 0.0031 | Sitting: P0:not_sitting
2026-07-15 11:50:35,259 - Pose: 1 persons | Book: no_book: 0.9930, book_1: 0.0020, book_2: 0.0013, book_3: 0.0037 | Sitting: P0:not_sitting
2026-07-15 11:50:36,504 - Pose: 1 persons | Book: no_book: 0.9954, book_1: 0.0013, book_2: 0.0009, book_3: 0.0024 | Sitting: P0:sitting
2026-07-15 11:50:36,705 - Pose: 1 persons | Book: no_book: 0.9921, book_1: 0.0019, book_2: 0.0015, book_3: 0.0044 | Sitting: P0:not_sitting
2026-07-15 11:50:37,690 - Pose: 1 persons | Book: no_book: 0.9906, book_1: 0.0025, book_2: 0.0018, book_3: 0.0051 | Sitting: P0:sitting
2026-07-15 11:50:38,690 - Pose: 1 persons | Book: no_book: 0.9929, book_1: 0.0020, book_2: 0.0014, book_3: 0.0037 | Sitting: P0:sitting
2026-07-15 11:50:39,715 - Pose: 1 persons | Book: no_book: 0.9948, book_1: 0.0013, book_2: 0.0010, book_3: 0.0030 | Sitting: P0:sitting
2026-07-15 11:50:40,721 - Pose: 2 persons | Book: no_book: 0.9956, book_1: 0.0012, book_2: 0.0009, book_3: 0.0023 | Sitting: P0:not_sitting, P1:not_sitting
2026-07-15 11:50:41,747 - Pose: 1 persons | Book: no_book: 0.9880, book_1: 0.0034, book_2: 0.0025, book_3: 0.0061 | Sitting: P0:not_sitting
