2026-07-15 13:57:06,454 - ============================================================
2026-07-15 13:57:06,455 - Barkley Tracker 啟動
2026-07-15 13:57:06,455 - Log 檔案：logs\barkley_20260715_135706.log
2026-07-15 13:57:06,455 - ============================================================
2026-07-15 13:57:13,993 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 13:57:14,087 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 13:57:14,095 - 書籍分類 - 設定裝置: CPU
2026-07-15 13:57:14,151 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 13:57:14,586 - 幀採樣間隔: 1.0 秒
2026-07-15 13:57:14,586 - YOLO pose ROI 初始位置: (420, 0)
2026-07-15 13:57:14,602 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 13:57:14,602 - YOLO - 設定裝置: GPU
2026-07-15 13:57:19,139 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 13:57:21,528 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0019, book_2: 0.0016, book_3: 0.0040 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:22,835 - Pose: 1 persons | Book: no_book: 0.9932, book_1: 0.0018, book_2: 0.0013, book_3: 0.0037 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:24,112 - Pose: 1 persons | Book: no_book: 0.9888, book_1: 0.0030, book_2: 0.0025, book_3: 0.0057 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:25,356 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0018, book_2: 0.0014, book_3: 0.0043 | Sitting: P0:sitting | Smoothed: not_sitting
2026-07-15 13:57:26,186 - Pose: 1 persons | Book: no_book: 0.9956, book_1: 0.0012, book_2: 0.0007, book_3: 0.0025 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:26,572 - Pose: 1 persons | Book: no_book: 0.9947, book_1: 0.0014, book_2: 0.0011, book_3: 0.0028 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:27,577 - Pose: 1 persons | Book: no_book: 0.9912, book_1: 0.0021, book_2: 0.0018, book_3: 0.0050 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:28,598 - Pose: 1 persons | Book: no_book: 0.9912, book_1: 0.0022, book_2: 0.0018, book_3: 0.0048 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:29,605 - Pose: 1 persons | Book: no_book: 0.9966, book_1: 0.0008, book_2: 0.0005, book_3: 0.0022 | Sitting: P0:sitting | Smoothed: not_sitting
2026-07-15 13:57:30,635 - Pose: 1 persons | Book: no_book: 0.9918, book_1: 0.0019, book_2: 0.0015, book_3: 0.0048 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:31,638 - Pose: 1 persons | Book: no_book: 0.9930, book_1: 0.0016, book_2: 0.0014, book_3: 0.0041 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:32,666 - Pose: 1 persons | Book: no_book: 0.9960, book_1: 0.0009, book_2: 0.0007, book_3: 0.0024 | Sitting: P0:not_sitting | Smoothed: not_sitting
2026-07-15 13:57:33,673 - Pose: 1 persons | Book: no_book: 0.9937, book_1: 0.0016, book_2: 0.0014, book_3: 0.0033 | Sitting: P0:sitting | Smoothed: not_sitting
2026-07-15 13:57:34,696 - Pose: 1 persons | Book: no_book: 0.9961, book_1: 0.0009, book_2: 0.0006, book_3: 0.0023 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:57:35,705 - Pose: 1 persons | Book: no_book: 0.9938, book_1: 0.0015, book_2: 0.0011, book_3: 0.0036 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:57:36,748 - Pose: 1 persons | Book: no_book: 0.9951, book_1: 0.0012, book_2: 0.0007, book_3: 0.0030 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:57:37,772 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0019, book_2: 0.0014, book_3: 0.0042 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:57:38,782 - Pose: 1 persons | Book: no_book: 0.9925, book_1: 0.0020, book_2: 0.0013, book_3: 0.0042 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:57:39,835 - Pose: 1 persons | Book: no_book: 0.9931, book_1: 0.0017, book_2: 0.0014, book_3: 0.0038 | Sitting: P0:sitting | Smoothed: sitting
2026-07-15 13:57:40,829 - Pose: 1 persons | Book: no_book: 0.9923, book_1: 0.0019, book_2: 0.0015, book_3: 0.0043 | Sitting: P0:sitting | Smoothed: sitting
