2026-07-15 11:42:07,663 - ============================================================
2026-07-15 11:42:07,664 - Barkley Tracker 啟動
2026-07-15 11:42:07,664 - Log 檔案：logs\barkley_20260715_114207.log
2026-07-15 11:42:07,664 - ============================================================
2026-07-15 11:42:15,449 - YOLO pose 模型：成功載入 OpenVINO 格式（優先使用 GPU，由環境變數控制）
2026-07-15 11:42:15,542 - 書籍分類 - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:42:15,550 - 書籍分類 - 設定裝置: CPU
2026-07-15 11:42:15,606 - 書籍分類模型：✓ CPU 編譯成功，使用 CPU
2026-07-15 11:42:16,007 - 幀採樣間隔: 1.0 秒
2026-07-15 11:42:16,024 - YOLO - OpenVINO 可用裝置: ['CPU', 'GPU']
2026-07-15 11:42:16,024 - YOLO - 設定裝置: GPU
2026-07-15 11:42:20,218 - YOLO - ✓ GPU.0 編譯成功，推論使用 Intel GPU (Iris Xe)
2026-07-15 11:42:23,076 - Pose: 1 persons | Book: no_book: 0.9968, book_1: 0.0009, book_2: 0.0005, book_3: 0.0018 | Sitting: P0:not_sitting
2026-07-15 11:42:24,915 - Pose: 1 persons | Book: no_book: 0.9942, book_1: 0.0014, book_2: 0.0011, book_3: 0.0032 | Sitting: P0:not_sitting
2026-07-15 11:42:26,701 - Pose: 1 persons | Book: no_book: 0.9963, book_1: 0.0012, book_2: 0.0008, book_3: 0.0018 | Sitting: P0:sitting
2026-07-15 11:42:28,480 - Pose: 1 persons | Book: no_book: 0.9944, book_1: 0.0016, book_2: 0.0012, book_3: 0.0028 | Sitting: P0:sitting
2026-07-15 11:42:30,086 - Pose: 1 persons | Book: no_book: 0.9952, book_1: 0.0012, book_2: 0.0008, book_3: 0.0027 | Sitting: P0:sitting
2026-07-15 11:42:31,033 - Pose: 1 persons | Book: no_book: 0.9949, book_1: 0.0013, book_2: 0.0011, book_3: 0.0026 | Sitting: P0:sitting
2026-07-15 11:42:31,289 - Pose: 1 persons | Book: no_book: 0.9902, book_1: 0.0028, book_2: 0.0022, book_3: 0.0048 | Sitting: P0:not_sitting
2026-07-15 11:42:32,264 - Pose: 1 persons | Book: no_book: 0.9930, book_1: 0.0018, book_2: 0.0013, book_3: 0.0039 | Sitting: P0:not_sitting
2026-07-15 11:42:33,288 - Pose: 1 persons | Book: no_book: 0.9914, book_1: 0.0022, book_2: 0.0018, book_3: 0.0046 | Sitting: P0:sitting
2026-07-15 11:42:34,297 - Pose: 1 persons | Book: no_book: 0.9949, book_1: 0.0012, book_2: 0.0010, book_3: 0.0029 | Sitting: P0:sitting
2026-07-15 11:42:35,323 - Pose: 1 persons | Book: no_book: 0.9941, book_1: 0.0016, book_2: 0.0012, book_3: 0.0030 | Sitting: P0:sitting
2026-07-15 11:42:36,332 - Pose: 1 persons | Book: no_book: 0.9920, book_1: 0.0022, book_2: 0.0016, book_3: 0.0042 | Sitting: P0:sitting
2026-07-15 11:42:37,374 - Pose: 1 persons | Book: no_book: 0.9960, book_1: 0.0010, book_2: 0.0006, book_3: 0.0024 | Sitting: P0:not_sitting
2026-07-15 11:42:38,394 - Pose: 1 persons | Book: no_book: 0.9942, book_1: 0.0016, book_2: 0.0011, book_3: 0.0032 | Sitting: P0:sitting
