2026-07-15 10:53:26,032 - ============================================================
2026-07-15 10:53:26,032 - Barkley Tracker 啟動
2026-07-15 10:53:26,032 - Log 檔案：logs\barkley_20260715_105326.log
2026-07-15 10:53:26,032 - ============================================================
2026-07-15 10:53:35,416 - YOLO pose 模型：成功載入 OpenVINO 格式
2026-07-15 10:53:38,547 - 書籍分類模型：成功使用 Intel GPU (Xe)
2026-07-15 10:53:38,965 - YOLO pose GPU 推論失敗，改用 CPU
2026-07-15 10:53:41,075 - YOLO pose：已切換至 CPU 推論
2026-07-15 10:55:47,376 - Pose: 0 persons | Book: no_book: 0.9876, book_1: 0.0033, book_2: 0.0027, book_3: 0.0064 | Sitting: N/A
2026-07-15 10:55:50,547 - Pose: 0 persons | Book: no_book: 0.9918, book_1: 0.0021, book_2: 0.0016, book_3: 0.0044 | Sitting: N/A
2026-07-15 10:55:53,593 - Pose: 0 persons | Book: no_book: 0.9880, book_1: 0.0032, book_2: 0.0027, book_3: 0.0062 | Sitting: N/A
2026-07-15 10:55:56,838 - Pose: 0 persons | Book: no_book: 0.9948, book_1: 0.0015, book_2: 0.0010, book_3: 0.0027 | Sitting: N/A
2026-07-15 10:56:00,027 - Pose: 0 persons | Book: no_book: 0.9924, book_1: 0.0021, book_2: 0.0015, book_3: 0.0040 | Sitting: N/A
2026-07-15 10:56:03,143 - Pose: 0 persons | Book: no_book: 0.9881, book_1: 0.0030, book_2: 0.0024, book_3: 0.0065 | Sitting: N/A
2026-07-15 10:56:06,192 - Pose: 0 persons | Book: no_book: 0.9937, book_1: 0.0016, book_2: 0.0012, book_3: 0.0036 | Sitting: N/A
2026-07-15 10:56:09,248 - Pose: 0 persons | Book: no_book: 0.9895, book_1: 0.0030, book_2: 0.0022, book_3: 0.0052 | Sitting: N/A
2026-07-15 10:56:12,403 - Pose: 0 persons | Book: no_book: 0.9900, book_1: 0.0025, book_2: 0.0021, book_3: 0.0054 | Sitting: N/A
2026-07-15 10:56:15,535 - Pose: 0 persons | Book: no_book: 0.9905, book_1: 0.0024, book_2: 0.0020, book_3: 0.0051 | Sitting: N/A
2026-07-15 10:56:18,740 - Pose: 0 persons | Book: no_book: 0.9882, book_1: 0.0028, book_2: 0.0026, book_3: 0.0064 | Sitting: N/A
2026-07-15 10:56:21,964 - Pose: 0 persons | Book: no_book: 0.9934, book_1: 0.0018, book_2: 0.0011, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:56:24,965 - Pose: 0 persons | Book: no_book: 0.9930, book_1: 0.0020, book_2: 0.0014, book_3: 0.0036 | Sitting: N/A
2026-07-15 10:56:28,158 - Pose: 0 persons | Book: no_book: 0.9966, book_1: 0.0007, book_2: 0.0006, book_3: 0.0020 | Sitting: N/A
2026-07-15 10:56:31,292 - Pose: 0 persons | Book: no_book: 0.9927, book_1: 0.0019, book_2: 0.0014, book_3: 0.0039 | Sitting: N/A
2026-07-15 10:56:34,494 - Pose: 0 persons | Book: no_book: 0.9950, book_1: 0.0013, book_2: 0.0009, book_3: 0.0028 | Sitting: N/A
2026-07-15 10:56:37,714 - Pose: 0 persons | Book: no_book: 0.9914, book_1: 0.0021, book_2: 0.0017, book_3: 0.0048 | Sitting: N/A
2026-07-15 10:56:40,744 - Pose: 0 persons | Book: no_book: 0.9894, book_1: 0.0027, book_2: 0.0022, book_3: 0.0057 | Sitting: N/A
2026-07-15 10:56:43,992 - Pose: 0 persons | Book: no_book: 0.9931, book_1: 0.0018, book_2: 0.0012, book_3: 0.0038 | Sitting: N/A
2026-07-15 10:56:47,008 - Pose: 0 persons | Book: no_book: 0.9948, book_1: 0.0014, book_2: 0.0010, book_3: 0.0029 | Sitting: N/A
2026-07-15 10:56:50,101 - Pose: 0 persons | Book: no_book: 0.9916, book_1: 0.0024, book_2: 0.0017, book_3: 0.0043 | Sitting: N/A
2026-07-15 10:56:53,332 - Pose: 0 persons | Book: no_book: 0.9933, book_1: 0.0017, book_2: 0.0014, book_3: 0.0037 | Sitting: N/A
2026-07-15 10:56:56,550 - Pose: 0 persons | Book: no_book: 0.9935, book_1: 0.0017, book_2: 0.0012, book_3: 0.0036 | Sitting: N/A
2026-07-15 10:56:59,608 - Pose: 0 persons | Book: no_book: 0.9897, book_1: 0.0029, book_2: 0.0020, book_3: 0.0054 | Sitting: N/A
2026-07-15 10:57:02,846 - Pose: 0 persons | Book: no_book: 0.9962, book_1: 0.0010, book_2: 0.0007, book_3: 0.0021 | Sitting: N/A
2026-07-15 10:57:05,986 - Pose: 0 persons | Book: no_book: 0.9905, book_1: 0.0024, book_2: 0.0022, book_3: 0.0049 | Sitting: N/A
2026-07-15 10:57:09,234 - Pose: 0 persons | Book: no_book: 0.9898, book_1: 0.0028, book_2: 0.0021, book_3: 0.0054 | Sitting: N/A
2026-07-15 10:57:12,263 - Pose: 0 persons | Book: no_book: 0.9903, book_1: 0.0025, book_2: 0.0021, book_3: 0.0051 | Sitting: N/A
2026-07-15 10:57:15,494 - Pose: 0 persons | Book: no_book: 0.9935, book_1: 0.0017, book_2: 0.0013, book_3: 0.0036 | Sitting: N/A
